Year,Month,Day,ang_vel
2007,1,1,0.49732214
2007,1,2,0.8380531
2007,1,3,1.073009
2007,1,4,0.92849714
2007,1,5,0.26683527
2007,1,6,0.5400054
2007,1,7,0.4006991
2007,1,8,0.31902495
2007,1,9,0.6962495
2007,1,10,1.3367974
2007,1,11,0.62187624
2007,1,12,1.3122346
2007,1,13,0.62465066
2007,1,14,0.66286695
2007,1,15,0.8828283
2007,1,16,0.31995624
2007,1,17,2.5782342
2007,1,18,2.3494039
2007,1,19,2.2661924
2007,1,20,1.8079739
2007,1,21,1.9906168
2007,1,22,1.0475651
2007,1,23,0.98982406
2007,1,24,2.105013
2007,1,25,0.3478998
2007,1,26,1.2124807
2007,1,27,0.06607919
2007,1,28,0.8573406
2007,1,29,0.21703593
2007,1,30,0.6119758
2007,1,31,0.7527811
2007,2,1,0.21530838
2007,2,2,0.47797036
2007,2,3,0.04725239
2007,2,4,0.14449556
2007,2,5,1.1469998
2007,2,6,2.1798716
2007,2,7,2.7826853
2007,2,8,3.1252463
2007,2,9,2.8637311
2007,2,10,2.212312
2007,2,11,2.7255566
2007,2,12,2.60157
2007,2,13,2.0121658
2007,2,14,2.0180483
2007,2,15,1.8739543
2007,2,16,1.6239123
2007,2,17,0.9484206
2007,2,18,0.79702127
2007,2,19,1.1039916
2007,2,20,2.9059246
2007,2,21,1.7175891
2007,2,22,2.121727
2007,2,23,1.9793216
2007,2,24,2.0461597
2007,2,25,2.6323202
2007,2,26,1.0381436
2007,2,27,1.7300727
2007,2,28,1.6410756
2007,3,1,1.6368762
2007,3,2,2.3998075
2007,3,3,2.0336103
2007,3,4,1.4988849
2007,3,5,1.6382543
2007,3,6,1.859367
2007,3,7,1.3044733
2007,3,8,0.47629273
2007,3,9,0.48922527
2007,3,10,0.075872034
2007,3,11,0.79461354
2007,3,12,0.7421663
2007,3,13,0.44660994
2007,3,14,0.6812255
2007,3,15,0.6390407
2007,3,16,0.34239382
2007,3,17,0.022787761
2007,3,18,1.31738
2007,3,19,1.4018121
2007,3,20,1.4516412
2007,3,21,1.0392138
2007,3,22,1.7457933
2007,3,23,1.5252715
2007,3,24,1.4963129
2007,3,25,1.795341
2007,3,26,1.837326
2007,3,27,1.8267161
2007,3,28,1.6575092
2007,3,29,2.491718
2007,3,30,1.79999
2007,3,31,1.3483396
2007,4,1,0.33390078
2007,4,2,1.4584526
2007,4,3,0.8390971
2007,4,4,0.21935998
2007,4,5,1.3413761
2007,4,6,0.8712356
2007,4,7,1.1463484
2007,4,8,0.08757673
2007,4,9,0.3707301
2007,4,10,0.2832221
2007,4,11,1.63007
2007,4,12,1.1093942
2007,4,13,1.4788531
2007,4,14,1.1945754
2007,4,15,1.3932406
2007,4,16,0.17687662
2007,4,17,0.63585013
2007,4,18,0.26524037
2007,4,19,1.0850174
2007,4,20,1.1852769
2007,4,21,2.032975
2007,4,22,0.6979556
2007,4,23,1.8675836
2007,4,24,0.42480284
2007,4,25,1.9189478
2007,4,26,0.14884941
2007,4,27,0.08360884
2007,4,28,2.1588752
2007,4,29,2.5478923
2007,4,30,2.2678387
2007,5,1,2.2451365
2007,5,2,1.9428505
2007,5,3,1.1027168
2007,5,4,1.1104735
2007,5,5,0.91225314
2007,5,6,1.3443936
2007,5,7,0.14730752
2007,5,8,2.0267103
2007,5,9,1.1554335
2007,5,10,1.9204892
2007,5,11,0.011270378
2007,5,12,0.5436121
2007,5,13,0.07728665
2007,5,14,0.7136357
2007,5,15,0.7205028
2007,5,16,0.7928973
2007,5,17,1.858494
2007,5,18,1.6010125
2007,5,19,1.2943134
2007,5,20,0.86004543
2007,5,21,1.1945595
2007,5,22,0.518768
2007,5,23,0.9035757
2007,5,24,0.39364567
2007,5,25,0.60683775
2007,5,26,0.5144683
2007,5,27,2.45344
2007,5,28,1.9504689
2007,5,29,2.217419
2007,5,30,3.0184765
2007,5,31,2.5910335
2007,6,1,2.7208698
2007,6,2,1.9611882
2007,6,3,1.7665055
2007,6,4,0.75621915
2007,6,5,1.934709
2007,6,6,2.1504018
2007,6,7,1.7337258
2007,6,8,2.6096535
2007,6,9,2.4052842
2007,6,10,2.4041739
2007,6,11,1.6601914
2007,6,12,1.0661055
2007,6,13,1.1339656
2007,6,14,1.2221786
2007,6,15,1.7506132
2007,6,16,2.3750653
2007,6,17,3.086243
2007,6,18,2.5944638
2007,6,19,2.1847842
2007,6,20,2.5035527
2007,6,21,2.3917685
2007,6,22,1.8523374
2007,6,23,1.5169001
2007,6,24,1.5318177
2007,6,25,1.6621563
2007,6,26,1.3888066
2007,6,27,1.0341069
2007,6,28,0.06434913
2007,6,29,2.6759207
2007,6,30,1.9760379
2007,7,1,2.627479
2007,7,2,2.6169124
2007,7,3,2.1208365
2007,7,4,2.2656574
2007,7,5,1.5383799
2007,7,6,2.5138462
2007,7,7,0.25071576
2007,7,8,1.0367734
2007,7,9,0.15851842
2007,7,10,0.7777914
2007,7,11,1.0783215
2007,7,12,0.786856
2007,7,13,1.6855421
2007,7,14,2.7172258
2007,7,15,0.60943496
2007,7,16,2.869993
2007,7,17,2.1800003
2007,7,18,1.3998959
2007,7,19,1.846611
2007,7,20,1.4220103
2007,7,21,2.1571124
2007,7,22,1.9629054
2007,7,23,2.9575818
2007,7,24,1.9256388
2007,7,25,2.9552515
2007,7,26,1.9011805
2007,7,27,0.64171076
2007,7,28,1.0637417
2007,7,29,0.99176943
2007,7,30,1.0605689
2007,7,31,0.83274
2007,8,1,0.7352939
2007,8,2,0.17832841
2007,8,3,1.6292144
2007,8,4,0.8709826
2007,8,5,1.0780437
2007,8,6,2.3009298
2007,8,7,1.9297402
2007,8,8,0.026273176
2007,8,9,1.7088139
2007,8,10,1.5576987
2007,8,11,2.4417315
2007,8,12,3.035999
2007,8,13,1.7325789
2007,8,14,1.3402202
2007,8,15,0.05541731
2007,8,16,0.4855184
2007,8,17,0.467174
2007,8,18,0.25848028
2007,8,19,1.5412345
2007,8,20,2.8279386
2007,8,21,2.021834
2007,8,22,1.0659953
2007,8,23,0.10551432
2007,8,24,1.073112
2007,8,25,0.19975507
2007,8,26,0.79153216
2007,8,27,1.3100381
2007,8,28,0.045448788
2007,8,29,0.75469005
2007,8,30,1.0358979
2007,8,31,2.8463914
2007,9,1,0.11837505
2007,9,2,0.052053142
