Year,Month,Day,norm_vel
2007,1,1,11.159833
2007,1,2,14.42822
2007,1,3,18.278873
2007,1,4,14.401082
2007,1,5,15.157273
2007,1,6,11.873528
2007,1,7,13.995635
2007,1,8,10.308127
2007,1,9,17.421337
2007,1,10,10.083875
2007,1,11,12.828174
2007,1,12,18.86183
2007,1,13,4.8456717
2007,1,14,7.012628
2007,1,15,9.482331
2007,1,16,11.194199
2007,1,17,11.954518
2007,1,18,7.203752
2007,1,19,3.467339
2007,1,20,15.045602
2007,1,21,15.156212
2007,1,22,12.759684
2007,1,23,6.6392074
2007,1,24,10.99245
2007,1,25,15.005404
2007,1,26,16.00055
2007,1,27,4.8385277
2007,1,28,16.093512
2007,1,29,13.931306
2007,1,30,17.980932
2007,1,31,11.831525
2007,2,1,12.92429
2007,2,2,16.832964
2007,2,3,13.186089
2007,2,4,13.171886
2007,2,5,18.220121
2007,2,6,12.030728
2007,2,7,4.2525682
2007,2,8,8.099297
2007,2,9,3.9258041
2007,2,10,4.232558
2007,2,11,13.063756
2007,2,12,13.837139
2007,2,13,6.36387
2007,2,14,13.192103
2007,2,15,18.020004
2007,2,16,17.482237
2007,2,17,7.121271
2007,2,18,5.626121
2007,2,19,3.0154164
2007,2,20,14.308486
2007,2,21,16.536238
2007,2,22,19.296907
2007,2,23,23.509865
2007,2,24,17.274035
2007,2,25,1.5524927
2007,2,26,13.281243
2007,2,27,11.052801
2007,2,28,10.552776
2007,3,1,12.7210865
2007,3,2,7.0740604
2007,3,3,7.043259
2007,3,4,7.650459
2007,3,5,16.82315
2007,3,6,15.679108
2007,3,7,11.660341
2007,3,8,8.785532
2007,3,9,13.305944
2007,3,10,15.919024
2007,3,11,16.122818
2007,3,12,10.312778
2007,3,13,16.337524
2007,3,14,16.969051
2007,3,15,16.049402
2007,3,16,17.059822
2007,3,17,4.4151163
2007,3,18,23.93246
2007,3,19,17.495148
2007,3,20,15.820355
2007,3,21,13.825699
2007,3,22,5.840678
2007,3,23,6.684771
2007,3,24,7.595584
2007,3,25,11.677893
2007,3,26,11.263972
2007,3,27,11.128288
2007,3,28,11.905595
2007,3,29,2.441814
2007,3,30,6.197727
2007,3,31,3.5934775
2007,4,1,6.073215
2007,4,2,8.747498
2007,4,3,6.995007
2007,4,4,14.450649
2007,4,5,8.104156
2007,4,6,7.6882834
2007,4,7,7.7758584
2007,4,8,16.608282
2007,4,9,9.704469
2007,4,10,18.42233
2007,4,11,5.8927374
2007,4,12,10.700246
2007,4,13,9.102796
2007,4,14,8.797049
2007,4,15,13.811811
2007,4,16,10.894431
2007,4,17,12.049116
2007,4,18,10.532193
2007,4,19,17.232811
2007,4,20,4.072772
2007,4,21,15.757931
2007,4,22,13.401489
2007,4,23,8.559355
2007,4,24,10.555055
2007,4,25,14.772853
2007,4,26,5.160227
2007,4,27,6.5028014
2007,4,28,5.339668
2007,4,29,6.044749
2007,4,30,5.2106543
2007,5,1,5.608477
2007,5,2,5.7344766
2007,5,3,4.2666636
2007,5,4,4.9625072
2007,5,5,4.6570373
2007,5,6,16.170704
2007,5,7,12.415672
2007,5,8,14.080448
2007,5,9,4.608689
2007,5,10,4.2311883
2007,5,11,6.4269757
2007,5,12,5.1786227
2007,5,13,4.724495
2007,5,14,6.829645
2007,5,15,9.903583
2007,5,16,5.069661
2007,5,17,5.2008214
2007,5,18,10.907869
2007,5,19,14.295069
2007,5,20,12.581685
2007,5,21,8.808842
2007,5,22,14.701652
2007,5,23,10.713448
2007,5,24,8.001809
2007,5,25,8.598146
2007,5,26,8.32311
2007,5,27,1.4516145
2007,5,28,17.455631
2007,5,29,9.983825
2007,5,30,11.696252
2007,5,31,8.210828
2007,6,1,3.5029442
2007,6,2,10.345042
2007,6,3,10.054129
2007,6,4,1.1759968
2007,6,5,9.110746
2007,6,6,1.9483775
2007,6,7,3.2175152
2007,6,8,6.509474
2007,6,9,4.3998
2007,6,10,10.099016
2007,6,11,7.763915
2007,6,12,7.4245887
2007,6,13,7.8356047
2007,6,14,7.368029
2007,6,15,3.6806471
2007,6,16,10.499437
2007,6,17,6.977438
2007,6,18,10.326532
2007,6,19,7.941205
2007,6,20,9.188768
2007,6,21,6.7889366
2007,6,22,3.9012756
2007,6,23,4.495667
2007,6,24,6.9873853
2007,6,25,14.554207
2007,6,26,15.11231
2007,6,27,4.876974
2007,6,28,1.4699659
2007,6,29,6.2904563
2007,6,30,6.5346293
2007,7,1,8.835048
2007,7,2,13.061642
2007,7,3,5.8570776
2007,7,4,2.8760858
2007,7,5,2.1180513
2007,7,6,3.4850338
2007,7,7,1.2837847
2007,7,8,5.439145
2007,7,9,7.679061
2007,7,10,5.749863
